2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_field with data[309:328]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_value with data[330:358]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_data with data[362:368]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_field with data[427:446]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_value with data[448:477]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_data with data[481:487]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_part_begin with no data
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_field with data[546:565]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_value with data[567:615]
2026-05-16 16:40:03,282 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_header_field with data[617:629]
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_header_value with data[631:655]
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_header_end with no data
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_headers_finished with no data
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_part_data with data[659:5664]
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_part_end with no data
2026-05-16 16:40:03,283 | DEBUG | python_multipart.multipart | Calling on_end with no data
2026-05-16 16:40:03,283 | INFO | routes.report_gen |  the filetype is valid
2026-05-16 16:40:03,284 | INFO | services.validation | Starting the data validation process
2026-05-16 16:40:03,287 | INFO | services.validation | Validating dataframe not empty : passed
2026-05-16 16:40:03,288 | INFO | services.validation | checking the mandatory columns : passed
